"question","prolific_subject_id","answer","condition","round_of_pilot"
"THE FULL QUESTIONS",NA,NA,NA,NA
"free-response: After your conversation with the chat bot, do you feel more willing to have a conversation with others about ${topicChoiceAsString}? Please freely reflect in the space below.",NA,NA,NA,NA
"convo-effect-on-willingness: What parts of this conversation, if any, affected your willingness to talk with someone who has different views about ${topicChoiceAsString}? What made you feel like the conversation was or was not productive?",NA,NA,NA,NA
"new-perspective: Throughout this conversation, were there any moments that opened you up to a new perspective about ${topicChoiceAsString}? If so, what occurred in these moments? If not, what made you feel like the conversation was not productive?",NA,NA,NA,NA
"still-contributes: What still contributes to your willingness or unwillingness to converse with others about ${topicChoiceAsString}? Please freely reflect in the space below.",NA,NA,NA,NA
"feelings-about-bot: We are still working on improving our chatbot. How did you like talking with the bot? What do you wish were different? Please provide any feedback regarding your conversation that we have not already covered.",NA,NA,NA,NA
"DATA",NA,NA,NA,NA
"topicChoice","6560334ee220887674bb0e13","same-sex marriage in the U.S.","viewpoint bot","Round 3 (Original prompts; conservative only)"
"free-response","6560334ee220887674bb0e13","no I just don't like to get into anything .","viewpoint bot","Round 3 (Original prompts; conservative only)"
"convo-effect-on-willingness","6560334ee220887674bb0e13","no matter what I may say I just don't want them to try and make me believe other wise ","viewpoint bot","Round 3 (Original prompts; conservative only)"
"new-perspective","6560334ee220887674bb0e13","I just don't care for conversations like this ","viewpoint bot","Round 3 (Original prompts; conservative only)"
"still-contributes","6560334ee220887674bb0e13","whatever I say about my beliefs I just want to pray for them","viewpoint bot","Round 3 (Original prompts; conservative only)"
"feelings-about-bot","6560334ee220887674bb0e13","it was nice","viewpoint bot","Round 3 (Original prompts; conservative only)"
"topicChoice","65c1512b51dc8b722a7fe306","same-sex marriage in the U.S.","combination bot","Round 4 (Modified prompts + combo bot)"
"free-response","65c1512b51dc8b722a7fe306","somewhat, my feelings really haven't changed.","combination bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","65c1512b51dc8b722a7fe306","None at all, honestly.","combination bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","65c1512b51dc8b722a7fe306","No","combination bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","65c1512b51dc8b722a7fe306","It depends on the space and the person I am engaging with.","combination bot","Round 4 (Modified prompts + combo bot)"
"feelings-about-bot","65c1512b51dc8b722a7fe306","It felt very... robotic. I think if there was a way to make it more human, it would feel better.","combination bot","Round 4 (Modified prompts + combo bot)"
"topicChoice","5e5593e29a302e59cb575f46","the criminal justice system in the U.S.","viewpoint bot","Round 4 (Modified prompts + combo bot)"
"free-response","5e5593e29a302e59cb575f46","Yes I do. Not that I did not before, but now even more.","viewpoint bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","5e5593e29a302e59cb575f46","I was already frustrated about the private prisons so it put me in a defensive mood.","viewpoint bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","5e5593e29a302e59cb575f46","I was grateful for the further education and new perspective that was given to me.","viewpoint bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","5e5593e29a302e59cb575f46","Just the fact that I have high hope that things will change for a more positive future.","viewpoint bot","Round 4 (Modified prompts + combo bot)"
"feelings-about-bot","5e5593e29a302e59cb575f46","I really liked it because I felt like I was talking to a colleague instead of a bot.","viewpoint bot","Round 4 (Modified prompts + combo bot)"
"topicChoice","667d45b04d01ecea845626a0","the role of the U.S. government in healthcare","question bot","Round 3 (Original prompts; conservative only)"
"free-response","667d45b04d01ecea845626a0","yes i would be very will to have a conversation with others","question bot","Round 3 (Original prompts; conservative only)"
"convo-effect-on-willingness","667d45b04d01ecea845626a0","none ","question bot","Round 3 (Original prompts; conservative only)"
"new-perspective","667d45b04d01ecea845626a0","the conversation was very productive and engaging ","question bot","Round 3 (Original prompts; conservative only)"
"still-contributes","667d45b04d01ecea845626a0","The urge to speak for people who cannot afford mental care services","question bot","Round 3 (Original prompts; conservative only)"
"feelings-about-bot","667d45b04d01ecea845626a0","everything went well the chatbot replied so well and was very engaging and showed much of a concern on the topic. It also replied so quickly.","question bot","Round 3 (Original prompts; conservative only)"
"topicChoice","629e4d79be0e1ecd4ce30ab4","the atomic bombings of Hiroshima and Nagasaki","combination bot","Round 4 (Modified prompts + combo bot)"
"free-response","629e4d79be0e1ecd4ce30ab4","I feel just as willing, I think it's a good topic to see from both sides.","combination bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","629e4d79be0e1ecd4ce30ab4","The conversation seemed to be well balanced, and we talked about all sides, which felt productive to me.","combination bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","629e4d79be0e1ecd4ce30ab4","I thought about it a lot deeper than I usually do, so maybe I gained slight perspective analyzing it like that.","combination bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","629e4d79be0e1ecd4ce30ab4","I'll willingly talk about it, because I think it makes for a good discussion.","combination bot","Round 4 (Modified prompts + combo bot)"
"feelings-about-bot","629e4d79be0e1ecd4ce30ab4","I liked talking to the bot. It was friendly, not really rude or anything. It was a pleasant conversation, it seemed good at continuing the conversation.","combination bot","Round 4 (Modified prompts + combo bot)"
"topicChoice","5e64393b2a0d161c7c02126c","same-sex marriage in the U.S.","combination bot","Round 4 (Modified prompts + combo bot)"
"free-response","5e64393b2a0d161c7c02126c","I do. It was apparent the conversation was a bot, but it was nice to able to speak my thoughts without worry of engaging with another person.","combination bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","5e64393b2a0d161c7c02126c","I liked how the bot acknowledged my viewpoints and contributed to my ideas. I felt like the conversation was progressing organically","combination bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","5e64393b2a0d161c7c02126c","The moments that opened my mind were the mentioning of the court case and coming back to the idea of the Consititution. They were valid points that I hadn't considered before. ","combination bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","5e64393b2a0d161c7c02126c","What contributes to my desire to converse to others is having a productive conservation. If I feel like it's not a productive conversation, then it's not worth starting the conversation to begin with. ","combination bot","Round 4 (Modified prompts + combo bot)"
"feelings-about-bot","5e64393b2a0d161c7c02126c","I liked chatting with the bot a lot! The bot still felt more geared to following its own points of view while engaging directly with me was a lesser focus, but it was still productive. There was enough resonating from the bot that it didn't feel like a one sided conversation. ","combination bot","Round 4 (Modified prompts + combo bot)"
"topicChoice","5dd42e7f35cf744223c60d1b","the criminal justice system in the U.S.","question bot","Round 4 (Modified prompts + combo bot)"
"free-response","5dd42e7f35cf744223c60d1b","possibly if i got more information during it","question bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","5dd42e7f35cf744223c60d1b","I would have a conversation if it was productive possibly","question bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","5dd42e7f35cf744223c60d1b","I felt like it thought I was wrong about crime","question bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","5dd42e7f35cf744223c60d1b","I don't care either way but I don't support criminals","question bot","Round 4 (Modified prompts + combo bot)"
